channel,density_percent,status,realization_count,total_runtime_seconds,mean_runtime_seconds,min_runtime_seconds,max_runtime_seconds
POSITIVE_PAIR_EVIDENCE,0,PASS,605,3.298099812120199,0.005451404648132561,0.0020598284900188446,0.09132811427116394
POSITIVE_PAIR_EVIDENCE,1,PASS,605,2.609011184424162,0.0043124151808663835,0.0020339898765087128,0.08383777737617493
POSITIVE_PAIR_EVIDENCE,5,CONSTRAINT_SATISFACTION_FAIL,2,0.00493057444691658,0.00246528722345829,0.002464327961206436,0.002466246485710144
POSITIVE_PAIR_EVIDENCE,5,PASS,603,2.2633492425084114,0.0037534813308597206,0.002035524696111679,0.037680111825466156
POSITIVE_PAIR_EVIDENCE,10,CONSTRAINT_SATISFACTION_FAIL,4,0.01054835319519043,0.0026370882987976074,0.0024469755589962006,0.003024093806743622
POSITIVE_PAIR_EVIDENCE,10,PASS,595,1.9900367185473442,0.0033445995269703265,0.002027764916419983,0.03748689219355583
POSITIVE_PAIR_EVIDENCE,10,R2_INELIGIBLE_CROSSING_EVIDENCE,6,0.0,0.0,0.0,0.0
POSITIVE_PAIR_EVIDENCE,20,CONSTRAINT_SATISFACTION_FAIL,4,0.01099347323179245,0.0027483683079481125,0.002390049397945404,0.0032024048268795013
POSITIVE_PAIR_EVIDENCE,20,PASS,570,1.634596522897482,0.002867713198065758,0.0020213499665260315,0.009039197117090225
POSITIVE_PAIR_EVIDENCE,20,R2_INELIGIBLE_CROSSING_EVIDENCE,31,0.0,0.0,0.0,0.0
POSITIVE_PAIR_EVIDENCE,50,CONSTRAINT_SATISFACTION_FAIL,10,0.02658046782016754,0.002658046782016754,0.0023334212601184845,0.0038096122443675995
POSITIVE_PAIR_EVIDENCE,50,PASS,545,1.5064510181546211,0.0027641303085405894,0.0020424872636795044,0.008101224899291992
POSITIVE_PAIR_EVIDENCE,50,R2_INELIGIBLE_CROSSING_EVIDENCE,50,0.0,0.0,0.0,0.0
UNPAIRED_NUCLEOTIDE_EVIDENCE,0,PASS,605,3.2698856964707375,0.005404769746232624,0.0020588375627994537,0.09036250412464142
UNPAIRED_NUCLEOTIDE_EVIDENCE,1,PASS,605,3.2629473619163036,0.005393301424655048,0.002083420753479004,0.09009820222854614
UNPAIRED_NUCLEOTIDE_EVIDENCE,5,PASS,605,3.2130616307258606,0.005310845670621257,0.002056889235973358,0.08702489361166954
UNPAIRED_NUCLEOTIDE_EVIDENCE,10,PASS,605,3.133933298289776,0.005180055038495497,0.0020444877445697784,0.08326775580644608
UNPAIRED_NUCLEOTIDE_EVIDENCE,20,PASS,605,3.0597268790006638,0.005057399800001097,0.002112988382577896,0.07563536614179611
UNPAIRED_NUCLEOTIDE_EVIDENCE,50,PASS,605,2.6506411992013454,0.004381225122646852,0.002031829208135605,0.05365004763007164
